id	name	popularity	genres	num_followers	monthly_listeners
1EH9eSje47IiRyVsq3gfkl	Raven	35	['hard rock', 'metal', 'neo-trad metal', 'nwobhm', 'nwothm', 'speed metal', 'thrash metal']	37148	57506
42LOtwpoBAnVLUqPJ8gwFy	Robert Francis	35	[]	17618	46087
1Ec2RuosR3mXrq6Q6egvUK	Civil Olydnad	8	['swedish pop punk', 'swedish punk']	368	1509
38yLQAdUNWO2jXQs9Pnevs	Bitesize Irish Gaelic	7	[]	1204	514
1YSA4byX5AL1zoTsSTlB03	Turnpike Troubadours	63	['red dirt']	234877	950928
6BkcAbUkfIBM4XudxieMq8	Dr. Alban	62	['bubblegum dance', 'eurodance', 'europop', 'hip house']	125746	2176978
1nivFfWu6oXBFDNyVfFU5x	The Cadillac Three	58	['contemporary country', 'modern southern rock']	119846	700961
5tGDXwaO3qq4w9mAhZHwZY	Seamus Blake	37	['canadian modern jazz', 'contemporary jazz', 'contemporary post-bop', 'jazz saxophone', 'straight-ahead jazz']	7420	98142
3MdnMzNMNENgdrx91CvGR8	Sister Sin	34	['slayer', 'sleaze rock', 'swedish hard rock', 'swedish metal']	24836	31818
3D3uLH6igxgWnDrhvPPqHQ	Emily Kinney	34	[]	47189	27151
4dOtX7sKkyguhRj1Gkvvl7	Keelan Donovan	52	[]	2781	57659
1Z3fF5lZdCM0ZHugkGoH8s	John Cage	44	['american contemporary classical', 'avant-garde', 'classical', 'contemporary classical', 'experimental', 'free improvisation']	66711	210373
3cb9CRWtkBQNjVLQNLP9FE	Capstan	45	['anthem emo', 'easycore', 'melodic hardcore', 'pop punk']	32760	126314
5LIpzK4mieNpv3b6vpZ4He	Sean Bonacum	20	[]	6	8107
0PQnsTU4RL8NHZmtDJ6lFg	Nuremberg Symphony Orchestra	12	['german orchestra']	456	2358
4IVDPPI5DlTTQVbaTB1cYv	Kyle Dunnigan	10	[]	986	1089
76ppr2GnqTIgTRBENX8V59	Piece Of Meat	5	[]	2	721
6aaRy3pEsAC5lrbpQC5WEl	Cryptodira	23	['nyhc']	2283	7670
2dU9NlAClSjQtKoVgUQwdz	Leftover Salmon	43	['bluegrass', 'jam band', 'jamgrass', 'progressive bluegrass']	59618	156729
7JCthCuu5Wmxv2avqVFolo	Roger Eno	48	['ambient', 'art rock', 'compositional ambient', 'fourth world']	13663	276432
0OVmlkSIEwFrxday9yyb91	Bella Hardy	22	['british folk', 'traditional british folk']	4358	6979
6WGE3kO8ULME2ErBcOksSR	KAAZE	61	['big room', 'deep big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'sky room']	123672	1522278
2F4vlQrJakgfJhEW93DFcZ	Mally Mall	47	[]	10924	40528
58aFXYJH2kj1nkLSwA8Uv8	The Other Tribe	13	[]	4915	3104
1WWZAYN8d4n4iwjYALmmKB	Orchestra of the Age of Enlightenment	51	['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance', 'orchestra']	4813	204045
0k17h0D3J5VfsdmQ1iZtE9	Pink Floyd	82	['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']	13578872	13657174
0gBJkH0e6W9nH1RpMee3j8	Pekka Haapasalo	11	[]	4	0
3O5HD95HTEPgoPFOjAb7yV	DripReport	66	['viral rap']	84276	3615375
4E0ctBJaB32wQSdYHmIsxU	Elder Lockhart	49	[]	247	469993
2wQf2gXq5hgPbAfHxrQmYI	Buddie	17	[]	247	6715
49dHKdpcTfRNCjSnIelLB2	Tredegar Town Band	16	['brass ensemble', 'british brass band']	669	3116
1w5Kfo2jwwIPruYS2UWh56	Pearl Jam	78	['alternative rock', 'grunge', 'permanent wave', 'rock']	6304843	10257995
51Mb7I2woAMIK6DOiMlfuy	Yani Martelly	31	['kompa']	3106	27200
5haVwjDd8z1dsR0uQewwoP	Hurula	42	['swedish alternative rock', 'swedish pop', 'swedish punk']	12670	57837
5CKhp4ovgbSd7PdVIza7cC	Andreas Johnson	47	['europop', 'swedish pop']	13571	371095
5UpK57VBAZQ03iTyX5JlXB	Jaap Van Zweden	38	['orchestral performance']	1952	15305
0f3EsoviYnRKTkmayI3cux	Men At Work	67	['album rock', 'australian rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']	761263	4695852
0eHQ9o50hj6ZDNBt6Ys1sD	Yandel	80	['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']	4708827	11917909
58e1DU63g4ro3Ei0Nv0ieV	Scrilla	28	['atl trap']	1068	2135
3YlS5XmI6AzoEPSLe0tCZj	Frivolous	32	['canadian electronic']	13943	40708
7eCmccnRwPmRnWPw61x6jM	SHY Martin	69	['electropop', 'indie cafe pop', 'pop', 'swedish electropop', 'tropical house']	203670	2924352
5L6JYrdFi5ImUf1zHuymbq	Ulf Söderblom	15	[]	28	5
1JiJqqAzQNmDRW2OBkqy8b	anrimeal	9	[]	136	866
6PyGlGbMoNqkofF14K4BWb	Nelson Riddle	49	['adult standards', 'big band', 'classic soundtrack', 'easy listening', 'exotica', 'lounge']	12716	131484
5IVacR5tKgTu9HotcG8kkl	DRIPPIN	43	['k-pop']	25393	92193
6GNN9PhhGVpGYIo78L3ryt	Karl Friedrich	15	[]	6	5
3PSH5PsWfZQiD2wieKU0ss	Whitehorse	39	['canadian folk', 'canadian indie', 'hamilton on indie']	23806	122089
6IfZesOI3vKCZy8pjzVknj	Albin Johnsén	54	['swedish idol pop', 'swedish pop']	19718	468280
3m8lmJWxlk9SPTFFCdxJVz	Field Guide	44	[]	1763	236751
30b9WulBM8sFuBo17nNq9c	G-DRAGON	61	['k-pop', 'k-rap']	2110494	996650
0k17h0D3J5VfsdmQ1iZtE9	Pink Floyd	82	['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']	13578872	13657174
0gBJkH0e6W9nH1RpMee3j8	Pekka Haapasalo	11	[]	4	0
3O5HD95HTEPgoPFOjAb7yV	DripReport	66	['viral rap']	84276	3615375
4E0ctBJaB32wQSdYHmIsxU	Elder Lockhart	49	[]	247	469993
2wQf2gXq5hgPbAfHxrQmYI	Buddie	17	[]	247	6715
49dHKdpcTfRNCjSnIelLB2	Tredegar Town Band	16	['brass ensemble', 'british brass band']	669	3116
1w5Kfo2jwwIPruYS2UWh56	Pearl Jam	78	['alternative rock', 'grunge', 'permanent wave', 'rock']	6304843	10257995
51Mb7I2woAMIK6DOiMlfuy	Yani Martelly	31	['kompa']	3106	27200
5haVwjDd8z1dsR0uQewwoP	Hurula	42	['swedish alternative rock', 'swedish pop', 'swedish punk']	12670	57837
5CKhp4ovgbSd7PdVIza7cC	Andreas Johnson	47	['europop', 'swedish pop']	13571	371095
5UpK57VBAZQ03iTyX5JlXB	Jaap Van Zweden	38	['orchestral performance']	1952	15305
0f3EsoviYnRKTkmayI3cux	Men At Work	67	['album rock', 'australian rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']	761263	4695852
0eHQ9o50hj6ZDNBt6Ys1sD	Yandel	80	['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']	4708827	11917909
58e1DU63g4ro3Ei0Nv0ieV	Scrilla	28	['atl trap']	1068	2135
3YlS5XmI6AzoEPSLe0tCZj	Frivolous	32	['canadian electronic']	13943	40708
7eCmccnRwPmRnWPw61x6jM	SHY Martin	69	['electropop', 'indie cafe pop', 'pop', 'swedish electropop', 'tropical house']	203670	2924352
5L6JYrdFi5ImUf1zHuymbq	Ulf Söderblom	15	[]	28	5
1JiJqqAzQNmDRW2OBkqy8b	anrimeal	9	[]	136	866
6PyGlGbMoNqkofF14K4BWb	Nelson Riddle	49	['adult standards', 'big band', 'classic soundtrack', 'easy listening', 'exotica', 'lounge']	12716	131484
5IVacR5tKgTu9HotcG8kkl	DRIPPIN	43	['k-pop']	25393	92193
6GNN9PhhGVpGYIo78L3ryt	Karl Friedrich	15	[]	6	5
3PSH5PsWfZQiD2wieKU0ss	Whitehorse	39	['canadian folk', 'canadian indie', 'hamilton on indie']	23806	122089
6IfZesOI3vKCZy8pjzVknj	Albin Johnsén	54	['swedish idol pop', 'swedish pop']	19718	468280
3m8lmJWxlk9SPTFFCdxJVz	Field Guide	44	[]	1763	236751
30b9WulBM8sFuBo17nNq9c	G-DRAGON	61	['k-pop', 'k-rap']	2110494	996650
3znhU4FKI4ymdNUNycldZl	gre gory	13	[]	90	1810
3Ke9ubVapReZsiJUiZ51sJ	John Paul Lakes	35	['pop catracho']	55	65552
6qiuwoB9ro3SX0ZjSXnr0y	Astron	50	['background music', 'focus']	5232	450074
2YdRnOqBXCl9g8xCLcGh8C	Mikhail Pletnev	59	['classical performance', 'russian classical piano']	10986	1020758
6Zd7AjXsoLaweP9FHyudVC	Caligula's Horse	46	['djent', 'progressive metal']	58643	102850
2lZ6o7yrgffZNMIFlvkbk6	Enzo Zirilli	31	[]	71	48566
2AbQwU2cuEGfD465wCXlg2	Rawayana	60	['latin alternative', 'reggae en espanol', 'venezuelan hip hop', 'venezuelan rock']	276421	1081493
1d7vtWAF7L4Dc1fnY4g2hD	The Bog Neck Brass Band	14	[]	20	0
2VCAUIEKX0BX7DWfA8qxPb	Henning Kraggerud	30	['violin']	1024	23601
78sJswwVn4P8aEhkF4K6fQ	Hyolyn	58	['k-pop', 'korean r&b']	473705	933946
46c81Sh94WgfqUYiI3DuSS	Via Fiori	28	[]	1099	2048
6Q39MHR4dKfsHjx92eU9HZ	Alican Özbuğutu	56	[]	45	695771
29f2mFV3WUYNmmrhHKV9rX	HAWK	38	['american metalcore']	7150	46147
3i9hP422d2KMjaupTzBNVS	The Spencer Davis Group	55	['blues rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll']	186162	1013567
